iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
135,16,6,10,0,4083,2558,-0.003350,0.048063,0.464076,0.0182,1.95,,
136,16,5,11,0,3396,2626,-0.012559,0.061527,0.517112,0.0319,1.67,,
137,16,7,9,0,3784,2951,-0.005737,0.044029,0.490477,0.0341,1.85,,
138,16,8,8,0,3049,2170,-0.005774,0.049565,0.520739,0.0283,1.51,,
139,16,8,8,0,3597,2821,0.001815,0.055676,0.514582,0.0377,1.78,,
140,16,9,7,0,3431,2518,-0.003953,0.071841,0.515956,0.0252,1.66,1.0000,20
141,16,6,10,0,2873,1972,-0.003930,0.052726,0.535958,0.0157,1.34,,
142,16,9,7,0,3825,2714,-0.003998,0.055874,0.517302,0.0241,1.79,,
143,16,5,11,0,3684,2947,-0.006875,0.041067,0.494839,0.0309,1.80,,
144,16,5,11,0,2938,2116,0.004706,0.045864,0.527356,0.0245,1.39,,
145,16,8,8,0,2763,2183,-0.014785,0.066499,0.516630,0.0302,1.36,,
146,16,7,9,0,3317,2714,-0.006088,0.069145,0.543819,0.0278,1.66,,
147,16,7,9,0,3223,2330,-0.004781,0.045180,0.558298,0.0233,1.61,,
148,16,8,8,0,2962,2114,-0.000462,0.098993,0.520831,0.0173,1.43,,
149,16,9,7,0,3639,3266,-0.002836,0.043583,0.524160,0.0257,1.84,,
150,16,6,10,0,3753,2583,-0.012149,0.055793,0.492072,0.0186,1.80,1.0000,20
151,16,7,9,0,3748,3011,-0.003780,0.050750,0.512840,0.0209,1.92,,
152,16,7,9,0,3662,2691,-0.000054,0.058874,0.519210,0.0210,1.81,,
153,16,10,6,0,3291,2435,-0.004852,0.046006,0.530707,0.0318,1.60,,
154,16,12,3,1,2950,1802,0.010678,0.068549,0.531285,0.0224,1.46,,
155,16,5,11,0,3399,2669,-0.001486,0.051744,0.547232,0.0245,1.73,,
156,16,10,6,0,3375,2456,-0.003634,0.042395,0.491653,0.0232,1.68,,
157,16,12,4,0,3128,2714,-0.005941,0.028898,0.533660,0.0294,1.58,,
158,16,6,10,0,3405,2844,-0.013379,0.063056,0.510240,0.0175,1.79,,
159,16,11,5,0,3361,2568,-0.008799,0.067503,0.535249,0.0245,1.74,,
160,16,4,12,0,2631,1716,-0.006235,0.068319,0.510889,0.0245,1.30,1.0000,20
161,16,8,8,0,3035,2248,-0.001857,0.067774,0.520564,0.0160,1.53,,
162,16,5,11,0,3566,2229,-0.006953,0.043148,0.486265,0.0206,1.65,,
163,16,11,4,1,3415,2689,-0.001913,0.073018,0.516329,0.0289,1.78,,
164,16,10,6,0,4762,3371,-0.003301,0.037504,0.475357,0.0177,2.27,,
165,16,9,7,0,3617,2757,-0.004468,0.033688,0.509435,0.0230,1.78,,
166,16,11,5,0,3204,2615,-0.008724,0.044548,0.523206,0.0313,1.66,,
167,16,9,7,0,3486,2544,-0.006943,0.052299,0.502919,0.0213,1.75,,
168,16,6,10,0,4110,3458,-0.006238,0.064620,0.506639,0.0216,2.12,,
169,16,9,7,0,3249,2496,-0.002643,0.052788,0.492084,0.0263,1.59,,
170,16,9,7,0,3463,2717,-0.002269,0.054545,0.492661,0.0235,1.70,1.0000,20
171,16,7,9,0,3125,2182,-0.008771,0.056230,0.505253,0.0359,1.58,,
172,16,7,9,0,3929,2971,-0.003203,0.064456,0.496783,0.0227,1.96,,
173,16,5,11,0,3815,3198,-0.003594,0.042059,0.509150,0.0215,1.97,,
