iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
158,16,9,7,0,2455,1772,-0.008112,0.096629,0.938456,0.0475,2.19,,
159,16,6,10,0,2486,1692,-0.009646,0.097950,0.902122,0.0586,2.19,,
160,16,6,10,0,2637,1807,0.005566,0.133959,0.868442,0.0557,2.36,0.9000,20
161,16,7,9,0,2735,1912,-0.004237,0.104608,0.816145,0.0499,2.54,,
162,16,8,8,0,2993,1961,-0.004707,0.083425,0.904254,0.0831,2.72,,
163,16,6,10,0,2501,1604,-0.003057,0.128733,0.804022,0.0471,2.20,,
164,16,8,8,0,2818,1843,-0.000196,0.148146,0.860170,0.0811,2.49,,
165,16,7,9,0,3031,1958,-0.008281,0.082417,0.851502,0.0530,2.70,,
166,16,7,9,0,2428,2007,-0.005621,0.113391,0.866084,0.0364,2.30,,
167,16,9,7,0,3076,2393,-0.009938,0.102104,0.882081,0.0498,2.97,,
168,16,8,8,0,2616,1835,-0.017568,0.101528,0.834460,0.0596,2.45,,
169,16,5,11,0,2861,2201,-0.004738,0.087490,0.864262,0.0556,2.72,,
170,16,7,9,0,3114,2396,-0.009533,0.082089,0.895924,0.0597,2.83,0.9500,20
171,16,10,6,0,3138,2499,-0.005988,0.096275,0.822337,0.0370,2.90,,
172,16,7,9,0,2809,1987,-0.004742,0.096053,0.800438,0.0690,2.56,,
173,16,6,10,0,3326,2451,-0.007156,0.078510,0.871606,0.0488,3.12,,
174,16,7,9,0,2996,2328,-0.014002,0.093283,0.816801,0.0638,2.71,,
175,16,9,7,0,2743,2089,-0.007623,0.085246,0.823879,0.0451,2.59,,
176,16,9,7,0,2861,2111,-0.008119,0.102017,0.761133,0.0374,2.62,,
177,16,8,8,0,2949,2350,-0.009149,0.098365,0.789835,0.0354,2.87,,
178,16,10,6,0,2935,2347,-0.021040,0.111600,0.744066,0.0314,2.69,,
179,16,10,6,0,3149,2149,-0.000966,0.079557,0.732209,0.0340,2.86,,
180,16,9,7,0,3082,2402,-0.005856,0.114461,0.747114,0.0368,2.85,0.7500,20
181,16,11,5,0,2923,2363,0.005725,0.107718,0.722550,0.0360,2.66,,
182,16,9,7,0,3062,1957,-0.004212,0.083471,0.728979,0.0429,2.64,,
183,16,12,4,0,3034,2279,-0.002926,0.094089,0.787216,0.0293,2.75,,
184,16,7,9,0,2597,2056,-0.021263,0.108173,0.787195,0.0660,2.36,,
185,16,8,8,0,3069,2487,-0.007466,0.107108,0.722614,0.0451,2.74,,
186,16,10,6,0,2972,2473,-0.006484,0.085939,0.817150,0.0515,2.72,,
187,16,7,9,0,2848,2006,-0.005348,0.109785,0.780122,0.0495,2.50,,
188,16,7,9,0,2953,1973,-0.007077,0.118969,0.740897,0.0302,2.61,,
189,16,11,5,0,2902,1943,-0.005059,0.098969,0.733678,0.0261,2.56,,
190,16,8,8,0,2814,2153,-0.005080,0.121182,0.784516,0.0457,2.51,0.7500,20
191,16,9,7,0,2862,2124,-0.000893,0.126922,0.749471,0.0600,2.78,,
192,16,13,3,0,2947,2067,-0.016018,0.057241,0.769250,0.0302,2.73,,
193,16,8,8,0,2624,2154,-0.000216,0.138565,0.763741,0.0572,2.38,,
194,16,9,7,0,3025,2210,-0.005452,0.106312,0.743012,0.0408,2.71,,
195,16,8,8,0,2886,2231,-0.003883,0.111592,0.738512,0.0457,2.55,,
196,16,11,5,0,2805,2177,-0.002990,0.085440,0.740545,0.0390,2.67,,
197,16,10,6,0,3249,1988,-0.005679,0.079609,0.725726,0.0385,2.91,,
198,16,8,8,0,2867,2150,-0.000271,0.101725,0.718764,0.0442,2.59,,
199,16,8,8,0,3106,2300,-0.006806,0.086958,0.751826,0.0397,2.77,,
200,16,6,10,0,2742,2011,-0.005902,0.125029,0.683396,0.0238,2.54,0.9000,20
201,16,8,8,0,2912,2468,-0.000004,0.098432,0.774122,0.0416,2.66,,
202,16,11,5,0,3155,2701,-0.004955,0.105548,0.747598,0.0538,3.01,,
203,16,9,7,0,2884,2524,-0.004307,0.110546,0.738594,0.0436,2.65,,
204,16,9,7,0,2756,2078,-0.011189,0.096492,0.805926,0.0391,2.57,,
205,16,7,9,0,2574,2049,0.028466,0.107501,0.707341,0.0346,2.37,,
206,16,9,7,0,2992,2354,-0.010985,0.074300,0.731296,0.0463,2.76,,
207,16,8,8,0,2791,1964,-0.002845,0.099976,0.690222,0.0632,2.57,,
208,16,10,6,0,2672,2100,-0.003275,0.130497,0.664214,0.0447,2.46,,
209,16,6,10,0,2805,1908,-0.008656,0.088156,0.737390,0.0615,2.57,,
210,16,7,9,0,2705,1831,-0.022500,0.103212,0.760676,0.0360,2.39,0.8500,20
211,16,8,8,0,3246,2588,-0.003125,0.100985,0.764035,0.0372,3.09,,
212,16,7,9,0,3051,2333,-0.003828,0.096014,0.683620,0.0528,2.82,,
213,16,7,9,0,2403,1683,-0.006224,0.114669,0.741593,0.0383,2.18,,
214,16,6,10,0,2949,1923,-0.010021,0.103396,0.758858,0.0628,2.64,,
215,16,11,5,0,2586,2047,-0.006190,0.084588,0.748112,0.0373,2.43,,
216,16,6,10,0,2725,1695,-0.003490,0.096759,0.679500,0.0314,2.53,,
217,16,5,11,0,2812,2074,0.007815,0.108401,0.726480,0.0365,2.50,,
218,16,6,10,0,2870,2361,0.003485,0.107330,0.688012,0.0663,2.62,,
219,16,9,7,0,2981,2056,-0.019663,0.101529,0.731061,0.0477,2.67,,
220,16,12,4,0,2930,2455,-0.004699,0.111708,0.754762,0.0449,2.70,0.8000,20
221,16,7,9,0,2858,1822,0.008481,0.110915,0.747614,0.0498,2.55,,
222,16,8,8,0,2710,2005,-0.005336,0.109836,0.729951,0.0452,2.45,,
223,16,8,8,0,2867,2249,-0.006904,0.107541,0.808251,0.0470,2.82,,
224,16,12,4,0,3116,1925,-0.004823,0.085569,0.808864,0.0422,2.84,,
225,16,8,8,0,2793,1939,-0.007647,0.118823,0.777640,0.0553,2.48,,
226,16,8,8,0,2590,1811,0.021897,0.108743,0.768304,0.0554,2.24,,
227,16,9,7,0,2735,2255,-0.004500,0.117602,0.727048,0.0330,2.48,,
228,16,9,7,0,2651,2265,-0.005618,0.090409,0.799263,0.0468,2.55,,
229,16,9,7,0,2861,1904,-0.006670,0.106534,0.748332,0.0477,2.62,,
230,16,7,9,0,2487,1812,-0.022662,0.113857,0.795524,0.0578,2.24,0.9000,20
231,16,8,8,0,2878,1956,-0.006565,0.088882,0.812277,0.0511,2.71,,
232,16,9,7,0,2978,2409,-0.006935,0.118267,0.798319,0.0549,2.70,,
233,16,5,11,0,2663,2096,-0.020928,0.102884,0.807136,0.0443,2.39,,
234,16,8,8,0,2577,1769,-0.005053,0.142341,0.807323,0.0306,2.32,,
235,16,6,10,0,2997,1983,-0.005584,0.099586,0.803977,0.0507,2.72,,
236,16,7,9,0,2913,2048,-0.007027,0.124939,0.870397,0.0368,2.62,,
237,16,10,6,0,2865,2155,-0.006357,0.101202,0.765835,0.0496,2.64,,
238,16,9,7,0,2818,2263,-0.008796,0.095029,0.807286,0.0437,2.56,,
239,16,9,7,0,2683,1948,-0.005161,0.130648,0.765452,0.0507,2.38,,
240,16,9,7,0,2728,2005,-0.006451,0.092672,0.783536,0.0363,2.42,0.9500,20
241,16,6,10,0,2577,1921,-0.008622,0.091656,0.778541,0.0426,2.52,,
242,16,9,7,0,2507,1919,-0.009684,0.113432,0.756183,0.0420,2.32,,
243,16,11,5,0,2592,1725,-0.003734,0.111722,0.727512,0.0283,2.27,,
244,16,10,6,0,2745,2012,-0.007049,0.101832,0.750640,0.0564,2.51,,
245,16,7,9,0,2970,2154,-0.004346,0.095206,0.810615,0.0581,2.66,,
246,16,6,10,0,3010,1998,-0.005932,0.111460,0.811490,0.0636,2.71,,
247,16,8,8,0,2763,2134,-0.003361,0.151213,0.818329,0.0622,2.46,,
248,16,7,9,0,2602,1853,-0.005946,0.078448,0.798592,0.0412,2.38,,
249,16,11,5,0,2639,1833,0.000565,0.099167,0.794507,0.0473,2.44,,
250,16,5,11,0,2648,1928,-0.007348,0.136950,0.864810,0.0398,2.40,0.9000,20
251,16,7,9,0,2709,2090,-0.009130,0.090716,0.837474,0.0412,2.74,,
252,16,7,9,0,2755,2338,-0.000528,0.117385,0.864831,0.0599,2.67,,
253,16,7,9,0,2777,1868,0.001162,0.136586,0.934992,0.0489,2.61,,
254,16,12,4,0,2611,2134,-0.005520,0.118393,0.915989,0.0379,2.55,,
255,16,9,7,0,2781,1944,-0.005386,0.104704,0.882576,0.0486,2.61,,
256,16,6,10,0,2699,2323,-0.021751,0.099156,0.892751,0.0799,2.66,,
257,16,8,8,0,2619,2087,-0.004217,0.117241,0.819558,0.0435,2.42,,
258,16,9,7,0,2963,2189,-0.007042,0.090231,0.818016,0.0743,2.68,,
259,16,7,9,0,2789,1992,-0.005515,0.097448,0.739462,0.0693,2.51,,
260,16,7,9,0,2831,2078,-0.004741,0.092011,0.807692,0.0533,2.53,1.0000,20
261,16,10,6,0,2638,1485,-0.006526,0.127059,0.868770,0.0555,2.29,,
262,16,7,9,0,2801,1904,-0.005045,0.136841,0.816849,0.0393,2.53,,
263,16,3,13,0,2803,2208,-0.010209,0.111402,0.818989,0.0505,2.61,,
264,16,8,8,0,2788,2087,0.000683,0.107077,0.849131,0.0516,2.58,,
265,16,7,9,0,2753,1736,-0.007756,0.122120,0.876114,0.0452,2.37,,
266,16,9,7,0,2687,2031,-0.008233,0.096999,0.915260,0.0552,2.44,,
267,16,7,9,0,2915,1946,-0.009445,0.132018,0.918491,0.0567,2.58,,
268,16,7,9,0,3028,2348,-0.011744,0.090849,0.877141,0.0698,2.95,,
269,16,6,10,0,2712,1778,-0.009418,0.115564,0.863929,0.0627,2.39,,
270,16,7,9,0,2981,2284,-0.007809,0.111269,0.920772,0.0493,2.79,0.9500,20
271,16,8,8,0,2851,2172,-0.002092,0.085726,0.935653,0.0540,2.56,,
272,16,8,8,0,2932,1883,-0.001683,0.097091,0.956675,0.0563,2.57,,
273,16,8,8,0,2711,2170,-0.002224,0.114498,0.940655,0.0437,2.43,,
274,16,10,6,0,3015,2376,-0.011163,0.090037,0.984405,0.0725,2.72,,
275,16,9,7,0,2848,2142,-0.004899,0.104912,0.939711,0.0547,2.61,,
276,16,7,9,0,2453,1816,-0.011987,0.125684,0.915384,0.0608,2.25,,
277,16,8,8,0,2813,2211,-0.004941,0.119980,0.982136,0.0420,2.67,,
278,16,10,6,0,2950,1999,-0.003307,0.110873,0.949210,0.0633,2.60,,
279,16,8,8,0,2832,2485,-0.008067,0.109569,0.968331,0.0716,2.65,,
280,16,7,9,0,2667,1862,-0.001102,0.113796,0.882066,0.0390,2.32,0.9500,20
281,16,10,6,0,2711,1941,-0.008590,0.133004,0.903196,0.0491,2.52,,
282,16,5,11,0,2897,1994,-0.008816,0.130022,0.912731,0.0449,2.62,,
283,16,12,4,0,2652,2038,-0.006148,0.075528,0.922475,0.0475,2.37,,
284,16,8,8,0,2611,1784,-0.006833,0.131819,0.908169,0.0485,2.45,,
285,16,5,11,0,2600,2100,-0.000579,0.079961,0.923988,0.0486,2.47,,
286,16,9,7,0,2949,1912,-0.005315,0.111389,0.939177,0.0525,2.67,,
287,16,8,8,0,2766,1875,-0.003927,0.117271,0.905457,0.0615,2.50,,
288,16,10,6,0,2525,1913,-0.011533,0.100657,0.826569,0.0512,2.30,,
289,16,10,6,0,2536,1951,-0.005365,0.120793,0.853380,0.0458,2.30,,
290,16,5,11,0,2627,1780,-0.007466,0.130128,0.856848,0.0408,2.31,1.0000,20
291,16,9,7,0,2798,2016,-0.006696,0.121301,0.836241,0.0382,2.65,,
292,16,9,7,0,2586,1695,-0.008433,0.121089,0.838214,0.0305,2.29,,
293,16,11,5,0,2760,1814,-0.023146,0.147120,0.881710,0.0560,2.53,,
294,16,11,5,0,2443,1675,-0.009672,0.148062,0.815943,0.0462,2.39,,
295,16,5,11,0,2537,1913,-0.010703,0.124820,0.814902,0.0435,2.27,,
296,16,6,10,0,2879,2066,-0.022077,0.103502,0.861178,0.0546,2.54,,
297,16,6,10,0,2544,1629,-0.004738,0.107419,0.797098,0.0280,2.24,,
298,16,10,6,0,2419,2012,-0.006177,0.119867,0.806935,0.0403,2.22,,
299,16,7,9,0,2755,1994,-0.004716,0.119085,0.778839,0.0687,2.52,,
300,16,6,10,0,2448,2130,-0.008799,0.126343,0.767320,0.0691,2.34,1.0000,20
301,16,7,9,0,2637,1905,-0.009205,0.120062,0.879698,0.0374,2.42,,
302,16,10,6,0,2416,1664,-0.006824,0.105504,0.793367,0.0366,2.17,,
303,16,9,7,0,2615,1914,-0.004133,0.108567,0.873415,0.0490,2.35,,
304,16,8,8,0,2762,2332,-0.011028,0.129539,0.880016,0.0626,2.65,,
305,16,10,6,0,2345,1731,-0.010439,0.087536,0.847741,0.0565,2.13,,
306,16,10,6,0,2748,2333,-0.011874,0.148200,0.857047,0.0534,2.63,,
