iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games,eval_vs_agent_win_rate
246,16,8,8,0,1050,665,-0.005161,0.254485,0.766412,0.0231,0.88,,,
247,16,11,5,0,1163,880,-0.010193,0.208464,0.829466,0.0254,1.10,,,
248,16,9,7,0,1085,760,-0.002863,0.266530,0.822630,0.0351,0.96,,,
249,16,8,8,0,1298,842,0.012573,0.224442,0.860391,0.0334,1.17,,,
250,16,8,8,0,1023,692,-0.013382,0.261208,0.858541,0.0282,0.92,0.9000,20,0.7000
251,16,7,9,0,1365,1020,-0.005893,0.205806,0.846811,0.0318,1.20,,,
252,16,8,8,0,1182,922,-0.009113,0.226816,0.819551,0.0232,1.15,,,
253,16,7,9,0,1077,726,-0.006314,0.218539,0.836717,0.0261,0.93,,,
254,16,10,6,0,1118,897,-0.016787,0.184416,0.822978,0.0234,1.00,,,
255,16,8,8,0,1318,915,-0.011177,0.208411,0.827956,0.0330,1.19,,,
256,16,10,6,0,1123,954,-0.005579,0.224044,0.875795,0.0259,1.05,,,
257,16,9,7,0,1531,1192,-0.003032,0.153606,0.844426,0.0269,1.42,,,
258,16,10,6,0,1211,849,-0.019690,0.207683,0.834957,0.0350,1.13,,,
259,16,4,12,0,1272,888,-0.003348,0.257607,0.808236,0.0224,1.11,,,
260,16,3,13,0,1195,818,-0.000485,0.202120,0.824677,0.0432,1.05,1.0000,20,0.7500
261,16,9,7,0,1215,636,-0.012308,0.260597,0.736066,0.0246,1.01,,,
262,16,9,7,0,1152,720,-0.005543,0.254181,0.815403,0.0371,1.02,,,
263,16,6,10,0,1197,896,-0.001758,0.197476,0.867863,0.0273,1.09,,,
264,16,7,9,0,1581,1224,-0.004636,0.161207,0.845167,0.0321,1.44,,,
265,16,9,7,0,1476,814,-0.014242,0.174968,0.790319,0.0331,1.27,,,
266,16,9,7,0,1342,1004,-0.004762,0.194842,0.828070,0.0270,1.20,,,
267,16,9,7,0,1509,998,-0.005033,0.189790,0.826969,0.0291,1.34,,,
268,16,11,5,0,1452,1142,-0.000867,0.186075,0.825755,0.0377,1.38,,,
269,16,9,7,0,1350,919,-0.013453,0.186399,0.809500,0.0276,1.21,,,
270,16,8,8,0,1617,1175,-0.010510,0.160032,0.873682,0.0393,1.43,0.9500,20,0.7000
271,16,10,6,0,1254,994,-0.004858,0.221573,0.789987,0.0254,1.11,,,
272,16,6,10,0,1119,718,-0.005852,0.198488,0.879824,0.0275,0.96,,,
273,16,9,7,0,1363,898,-0.006842,0.237979,0.852921,0.0353,1.31,,,
274,16,11,5,0,1488,1127,0.002876,0.161688,0.891442,0.0219,1.34,,,
275,16,9,7,0,1218,835,-0.001066,0.211550,0.844972,0.0268,1.07,,,
276,16,10,6,0,1350,995,-0.008412,0.241237,0.842589,0.0306,1.24,,,
277,16,7,9,0,1671,1308,0.011785,0.168950,0.847077,0.0468,1.49,,,
278,16,6,10,0,1398,978,-0.006542,0.184333,0.865260,0.0400,1.24,,,
279,16,8,8,0,1222,1009,-0.005477,0.233417,0.836031,0.0335,1.23,,,
280,16,8,8,0,1381,958,-0.005885,0.185715,0.813137,0.0234,1.25,0.9500,20,0.6500
281,16,7,9,0,1239,832,-0.008203,0.198750,0.829374,0.0368,1.16,,,
282,16,5,11,0,1299,843,0.007711,0.239283,0.811987,0.0245,1.14,,,
283,16,12,4,0,1162,902,-0.004329,0.186586,0.858110,0.0193,1.07,,,
284,16,8,8,0,1364,917,-0.006217,0.205924,0.810618,0.0255,1.26,,,
285,16,7,9,0,1294,977,-0.005440,0.184480,0.797858,0.0244,1.13,,,
286,16,7,9,0,1355,896,-0.005153,0.177130,0.797083,0.0221,1.25,,,
287,16,7,9,0,1266,745,-0.002971,0.252203,0.852063,0.0180,1.08,,,
288,16,7,9,0,1281,943,-0.008156,0.205525,0.860324,0.0350,1.15,,,
289,16,10,6,0,1261,923,-0.004467,0.220203,0.810519,0.0266,1.14,,,
290,16,9,7,0,1493,982,-0.005028,0.182269,0.814831,0.0214,1.36,0.9000,20,0.7000
291,16,9,7,0,1327,913,-0.004601,0.176229,0.849530,0.0282,1.20,,,
292,16,6,10,0,1482,959,-0.002296,0.222916,0.814980,0.0246,1.23,,,
293,16,8,8,0,1256,860,-0.008573,0.201861,0.897600,0.0322,1.20,,,
294,16,11,5,0,1310,878,-0.007381,0.200717,0.875622,0.0231,1.15,,,
295,16,10,6,0,1174,858,0.002431,0.198517,0.847355,0.0403,1.05,,,
296,16,6,10,0,1505,1084,0.011377,0.134860,0.829039,0.0430,1.39,,,
297,16,7,9,0,1634,1057,-0.014161,0.177947,0.865580,0.0349,1.50,,,
298,16,6,10,0,1591,1366,0.013589,0.149534,0.822139,0.0318,1.49,,,
299,16,10,6,0,1616,1129,-0.001234,0.201408,0.846858,0.0280,1.45,,,
